FSA,Subscribers,CRA_Avg_Individual_Income_2021,Data_Source
T3H,100,"$102,394",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3E,74,"$80,873",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2J,69,"$78,825",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3A,57,"$70,193",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2T,56,"$141,500",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3G,55,"$66,372",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2V,53,"$91,833",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3B,47,"$76,991",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3K,43,"$54,102",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2Z,42,"$67,983",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2W,38,"$65,840",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3L,37,"$89,631",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2S,33,"$165,972",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2Y,33,"$59,719",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2N,31,"$111,182",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2X,31,"$67,931",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3C,27,"$72,752",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3M,26,"$78,102",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2K,24,"$55,656",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3Z,24,"$176,588",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T1S,23,"$84,158",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2C,19,"$69,207",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2P,17,"$98,107",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2E,16,"$69,840",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2R,16,"$80,593",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2L,15,"$71,886",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2G,14,"$72,868",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3R,14,"$72,500",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T0L,13,"$52,855",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2M,13,"$85,990",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T4C,13,"$75,194",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T4B,12,"$64,146",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2A,11,"$38,789",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T0M,9,"$56,276",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T1P,7,"$59,489",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T1W,7,"$86,939",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T1Y,7,"$39,404",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T1X,6,"$67,175",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2H,6,"$62,731",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3P,5,"$61,269",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T0J,4,"$51,285",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T4A,4,"$65,751",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T1K,3,"$60,549",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3J,3,"$37,902",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T4G,3,"$55,580",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T1H,2,"$46,659",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T1V,2,"$56,870",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T3N,2,"$43,550",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T4S,2,"$66,380",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T6J,2,"$64,230",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
V1W,2,"$77,100",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
K1E,1,"$63,464",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
S0A,1,"$47,909",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T0G,1,"$46,798",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T0K,1,"$47,461",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T1J,1,"$56,534",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T1M,1,"$54,834",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T1R,1,"$52,474",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T2B,1,"$41,547",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T4H,1,"$57,435",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T4J,1,"$55,278",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T4N,1,"$53,401",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T4P,1,"$55,683",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T4R,1,"$65,717",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T4T,1,"$55,160",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T5X,1,"$50,733",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T6M,1,"$76,021",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T6W,1,"$67,611",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T7A,1,"$61,758",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T7N,1,"$50,150",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T7V,1,"$63,842",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T8A,1,"$73,640",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T8H,1,"$72,759",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
T8W,1,"$78,163",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
V0R,1,"$54,267",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
V3H,1,"$78,806",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
V7H,1,"$82,970",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
V9G,1,"$54,472",CRA FSA Tax Statistics 2023 Ed (2021 tax year)
V9P,1,"$57,748",CRA FSA Tax Statistics 2023 Ed (2021 tax year)

SUMMARY
Subscribers with postal codes,1210
Subscribers matched to income data,1200
Weighted avg individual income,"$83,267"
Note,"Income is per individual tax filer (not household/family), 2021 tax year"
Source,"Canada Revenue Agency - Individual Tax Statistics by FSA, 2023 Edition"
